train_idx,train_type,original_price,optimized_price,difference,predicted_demand,real_demand,capacity,day,expected_passengers,passengers
00001_12-03-2025-06.12,AVLO,35.55,85.55,50.0,1625.8946575908828,581.0,581,2025-03-12,5,5
00002_12-03-2025-06.22,IRYO,19.12,19.12,0.0,3372.581053732878,461.0,461,2025-03-12,1822,461
00003_12-03-2025-06.27,AVE,51.08,101.08,50.0,2933.3953233120556,359.0,359,2025-03-12,0,0
00004_12-03-2025-06.57,AVE,92.74,142.74,50.000000000000014,1727.1472030085752,414.0,414,2025-03-12,0,0
00005_12-03-2025-07.02,OUIGO,29.34,29.34,0.0,395.98341917474056,395.9834191747551,509,2025-03-12,137,137
00002_12-03-2025-07.22,IRYO,31.18,31.18,0.0,619.2200778930907,461.0,461,2025-03-12,317,317
00006_12-03-2025-07.27,AVE,36.0,86.0,50.0,1887.6446161742892,414.0,414,2025-03-12,0,0
00004_12-03-2025-07.57,AVE,41.22,91.22,50.0,1940.987305475349,414.0,414,2025-03-12,2,2
00007_12-03-2025-08.27,AVE,77.62,127.62,50.0,1861.889322292505,414.0,414,2025-03-12,0,0
00002_12-03-2025-08.32,IRYO,28.44,28.44,0.0,336.8620642218626,336.8620642218649,461,2025-03-12,275,275
00008_12-03-2025-08.57,AVE,51.31,101.31,50.0,1776.7616420405705,414.0,414,2025-03-12,0,0
00009_12-03-2025-09.22,IRYO,34.46,34.46,0.0,14.575099600662888,14.575099600662888,461,2025-03-12,185,185
00010_12-03-2025-09.27,AVE,67.9,117.9,50.0,1830.0909432457183,414.0,414,2025-03-12,0,0
00009_12-03-2025-09.57,IRYO,35.87,35.87,0.0,73.63762758444201,73.63762758444201,461,2025-03-12,239,239
00011_12-03-2025-10.02,OUIGO,50.83,50.83,0.0,-21.2479548537134,0.0,509,2025-03-12,17,17
00012_12-03-2025-10.27,AVLO,45.95,95.95,50.0,717.6974529239315,581.0,581,2025-03-12,0,0
00009_12-03-2025-11.22,IRYO,33.11,33.11,0.0,405.44328472303704,405.4432847230593,461,2025-03-12,370,370
00006_12-03-2025-11.27,AVE,39.16,89.16,50.0,1759.0248938527377,826.0,826,2025-03-12,3,3
00009_12-03-2025-12.22,IRYO,40.36,40.36,0.0,198.9816960567928,198.9816960567928,461,2025-03-12,196,196
00013_12-03-2025-12.27,AVE,52.53,102.53,50.0,2242.616951330783,378.0,378,2025-03-12,1,1
00004_12-03-2025-12.57,AVE,49.12,99.12,50.00000000000001,2561.930292833154,414.0,414,2025-03-12,3,3
00014_12-03-2025-13.18,AVE,48.24,98.24,50.00000000000001,2634.612073245678,339.0,339,2025-03-12,1,1
00009_12-03-2025-14.02,IRYO,28.45,28.45,0.0,575.6499198984609,461.0,461,2025-03-12,704,461
00015_12-03-2025-14.12,OUIGO,43.24,43.24,0.0,25.269704468405955,25.269704468405955,509,2025-03-12,138,138
00016_12-03-2025-14.27,AVE,45.97,95.97,50.0,2256.5776443551595,291.0,291,2025-03-12,9,9
00017_12-03-2025-14.42,IRYO,64.65,64.65,0.0,-26.28206361654565,0.0,461,2025-03-12,39,39
00004_12-03-2025-14.57,AVE,49.33,99.33,50.000000000000014,3077.8926724747266,414.0,414,2025-03-12,21,21
00018_12-03-2025-15.27,AVLO,34.49,84.49000000000001,50.00000000000001,1312.2907871210657,571.0,571,2025-03-12,3,3
00004_12-03-2025-15.57,AVE,60.49,110.49,49.99999999999999,3402.4686601427147,414.0,414,2025-03-12,8,8
00007_12-03-2025-16.27,AVE,66.45,116.45,50.0,4015.818080108495,414.0,414,2025-03-12,0,0
00002_12-03-2025-16.37,IRYO,64.78,64.78,0.0,83.73509299243536,83.73509299243536,461,2025-03-12,228,228
00004_12-03-2025-16.57,AVE,137.57,160.0,22.430000000000007,3120.683902883515,414.0,414,2025-03-12,0,0
00015_12-03-2025-17.17,OUIGO,58.46,58.46,0.0,13.227224887005084,13.227224887005084,509,2025-03-12,146,146
00009_12-03-2025-17.22,IRYO,36.74,36.74,0.0,635.9476234470177,461.0,461,2025-03-12,871,461
00006_12-03-2025-17.27,AVE,52.81,102.81,50.0,2305.189887736904,414.0,414,2025-03-12,7,7
00004_12-03-2025-17.57,AVE,50.34,100.34,50.0,2691.768552590701,414.0,414,2025-03-12,16,16
00016_12-03-2025-18.27,AVE,83.65,133.65,50.0,2746.3490755772104,414.0,414,2025-03-12,0,0
00002_12-03-2025-18.32,IRYO,45.2,45.2,0.0,139.7764712397676,139.77647123976442,461,2025-03-12,246,246
00004_12-03-2025-18.57,AVE,130.18,160.0,29.819999999999993,2637.660172897353,414.0,414,2025-03-12,0,0
00009_12-03-2025-19.29,IRYO,42.37,42.37,0.0,71.66690985888984,71.66690985888984,461,2025-03-12,50,50
00019_12-03-2025-19.34,AVLO,35.13,85.13,49.99999999999999,581.0,581.0,581,2025-03-12,0,0
00004_12-03-2025-20.05,AVE,30.77,80.77,50.0,1812.120235152037,414.0,414,2025-03-12,3,3
00009_12-03-2025-20.22,IRYO,32.23,32.23,0.0,419.70439698769246,419.70439698769974,461,2025-03-12,47,47
00020_12-03-2025-20.27,AVE,48.48,98.48,49.99999999999999,678.8186864390848,414.0,414,2025-03-12,0,0
00005_12-03-2025-21.02,OUIGO,48.02,48.02,0.0,-32.712925910035246,0.0,509,2025-03-12,0,0
00007_12-03-2025-21.07,AVE,45.4,20.434501345431457,-24.965498654568545,946.340929393141,414.0,414,2025-03-12,1691,414
00021_22-03-2025-06.27,AVLO,24.41,74.41,50.0,3131.7521075102036,581.0,581,2025-03-22,17,17
00005_22-03-2025-07.02,OUIGO,39.26,39.26,0.0,175.8596811151005,175.8596811151005,509,2025-03-22,97,97
00006_22-03-2025-07.27,AVE,73.51,123.50999999999998,49.99999999999997,4509.645904155288,414.0,414,2025-03-22,0,0
00009_22-03-2025-08.07,IRYO,32.43,32.43,0.0,2053.2787527659334,461.0,461,2025-03-22,218,218
00007_22-03-2025-08.27,AVE,53.76,103.75999999999988,49.99999999999988,5311.3641181503035,414.0,414,2025-03-22,0,0
