train_idx,train_type,original_price,optimized_price,predicted_demand,real_demand,capacity
00001_22-01-2025-06.12,AVLO,38.89,48.6125,643.0985119167915,581.0,581
00002_22-01-2025-06.22,IRYO,46.98,46.98,481.2912333075502,461.0,461
00003_22-01-2025-06.27,AVE,44.66,55.824999999999996,1109.595864303639,359.0,359
00004_22-01-2025-06.57,AVE,98.91,123.63749999999999,633.1630054041404,414.0,414
00005_22-01-2025-07.02,OUIGO,47.9,47.9,18.64912517560804,18.64912517560804,509
00002_22-01-2025-07.22,IRYO,30.31,30.31,596.0660341896131,461.0,461
00006_22-01-2025-07.27,AVE,25.73,32.1625,342.7677373941514,342.76773739414733,414
00004_22-01-2025-07.57,AVE,54.6,68.25,345.5263956331417,345.52639563312897,414
00007_22-01-2025-08.27,AVE,77.35,85.28025601062356,174.69988575972462,174.69988575973383,414
00002_22-01-2025-08.32,IRYO,38.23,38.23,61.48904662819243,61.48904662819675,461
00008_22-01-2025-08.57,AVE,41.36,51.7,251.77437488484082,251.77437488487107,414
00009_22-01-2025-09.22,IRYO,27.4,27.4,287.2656625444727,287.2656625444814,461
00010_22-01-2025-09.27,AVE,61.55,75.86863822747797,147.20923032612686,147.20923032610867,414
00009_22-01-2025-09.57,IRYO,24.21,24.21,516.1810205089688,461.0,461
00011_22-01-2025-10.02,OUIGO,49.0,49.0,2.9911576464647824,2.9911576464647824,509
00012_22-01-2025-10.27,AVLO,49.11,61.3875,90.85047338607062,90.85047338608005,581
00009_22-01-2025-11.22,IRYO,56.46,56.46,45.564649152455885,45.564649152455885,461
00006_22-01-2025-11.27,AVE,64.11,80.1375,398.28063657829875,398.280636578286,826
00009_22-01-2025-12.22,IRYO,32.0,32.0,337.6460570968555,337.64605709685065,461
00013_22-01-2025-12.27,AVE,55.28,69.1,240.28388080739452,240.28388080739975,378
00004_22-01-2025-12.57,AVE,31.54,39.425,536.111617966578,414.0,414
00014_22-01-2025-13.18,AVE,48.24,60.3,158.61806329112565,158.61806329109882,339
00009_22-01-2025-14.02,IRYO,52.92,52.92,27.189775974307633,27.189775974307633,461
00015_22-01-2025-14.12,OUIGO,47.14,47.14,44.94264997190859,44.94264997190859,509
00016_22-01-2025-14.27,AVE,66.16,82.7,478.9900727154508,291.0,291
00017_22-01-2025-14.42,IRYO,43.97,43.97,124.56915642589864,124.56915642589864,461
00004_22-01-2025-14.57,AVE,52.55,65.6875,674.9358182640334,414.0,414
00018_22-01-2025-15.27,AVLO,33.7,42.125,80.66732551385273,80.66732551387041,571
00004_22-01-2025-15.57,AVE,50.65,63.3125,794.8813085775045,414.0,414
00007_22-01-2025-16.27,AVE,42.74,53.425000000000004,1028.309181461647,414.0,414
00002_22-01-2025-16.37,IRYO,34.44,34.44,789.9037986232688,461.0,461
00004_22-01-2025-16.57,AVE,128.08,160.1,689.242117275287,414.0,414
00015_22-01-2025-17.17,OUIGO,40.65,40.65,178.75187200271105,178.75187200271105,509
00009_22-01-2025-17.22,IRYO,34.44,34.44,582.4195914172903,461.0,461
00006_22-01-2025-17.27,AVE,47.86,57.34451531144509,443.9663259159359,414.0,414
00004_22-01-2025-17.57,AVE,51.69,64.6125,691.736283596528,414.0,414
00016_22-01-2025-18.27,AVE,74.49,93.1125,463.7738079752297,414.0,414
00002_22-01-2025-18.32,IRYO,52.42,52.42,26.31386891174721,26.31386891174721,461
00004_22-01-2025-18.57,AVE,124.14,155.175,187.61966699278813,187.61966699278472,414
00009_22-01-2025-19.29,IRYO,27.38,27.38,444.0098761680958,444.0098761680902,461
00019_22-01-2025-19.34,AVLO,27.07,33.8375,-29.9136402680262,0.0,581
00004_22-01-2025-20.05,AVE,34.62,41.223513470840345,65.55326530740221,65.55326530741137,414
00009_22-01-2025-20.22,IRYO,40.28,40.28,0.0,0.0,461
00020_22-01-2025-20.27,AVE,45.31,56.6375,11.134903943553741,11.134903943542827,414
00005_22-01-2025-21.02,OUIGO,55.1,55.1,-0.10054111496584298,0.0,509
00007_22-01-2025-21.07,AVE,57.93,43.453871479006395,35.14706304694932,35.14706304695418,414
