service_id,train_type,capacity,train_model,year,month,day_of_week,departure_time,duration,price,passengers,time_distance_competitor_-2,price_competitor_-2,train_type_competitor_-2,duration_competitor_-2,time_distance_competitor_-1,price_competitor_-1,train_type_competitor_-1,duration_competitor_-1,time_distance_competitor_1,price_competitor_1,train_type_competitor_1,duration_competitor_1,time_distance_competitor_2,price_competitor_2,train_type_competitor_2,duration_competitor_2
00004_01-01-2025-06.57,AVE,414,S-103,2025,1,2,6.95,157.0,82.99,95,-45.0,34.52,AVLO,157.0,-30.0,55.7,AVE,178.0,30.0,27.76,AVE,199.0,60.0,47.82,AVE,157.0
00005_01-01-2025-07.02,OUIGO,509,S-108,2025,1,2,7.03,172.0,36.73,509,-34.8,55.7,AVE,178.0,-4.8,82.99,AVE,157.0,25.2,27.76,AVE,199.0,55.2,47.82,AVE,157.0
00002_01-01-2025-07.22,IRYO,461,S-109,2025,1,2,7.37,157.0,30.65,461,-55.2,55.7,AVE,178.0,-25.2,82.99,AVE,157.0,4.8,27.76,AVE,199.0,34.8,47.82,AVE,157.0
00006_01-01-2025-07.27,AVE,414,S-103,2025,1,2,7.45,199.0,27.76,414,-60.0,55.7,AVE,178.0,-30.0,82.99,AVE,157.0,30.0,47.82,AVE,157.0,60.0,104.56,AVE,172.0
00004_01-01-2025-07.57,AVE,414,S-103,2025,1,2,7.95,157.0,47.82,414,-60.0,82.99,AVE,157.0,-30.0,27.76,AVE,199.0,30.0,104.56,AVE,172.0,60.0,63.01,AVE,164.0
00007_01-01-2025-08.27,AVE,414,S-103,2025,1,2,8.45,172.0,104.56,4,-60.0,27.76,AVE,199.0,-30.0,47.82,AVE,157.0,30.0,63.01,AVE,164.0,60.0,66.83,AVE,194.0
00002_01-01-2025-08.32,IRYO,461,S-109,2025,1,2,8.53,157.0,38.41,461,-34.8,47.82,AVE,157.0,-4.8,104.56,AVE,172.0,25.2,63.01,AVE,164.0,55.2,66.83,AVE,194.0
00008_01-01-2025-08.57,AVE,414,S-103,2025,1,2,8.95,164.0,63.01,171,-60.0,47.82,AVE,157.0,-30.0,104.56,AVE,172.0,30.0,66.83,AVE,194.0,90.0,49.08,AVLO,172.0
00009_01-01-2025-09.22,IRYO,461,S-109,2025,1,2,9.37,172.0,34.27,461,-55.2,104.56,AVE,172.0,-25.2,63.01,AVE,164.0,4.8,66.83,AVE,194.0,64.8,49.08,AVLO,172.0
00010_01-01-2025-09.27,AVE,414,S-103,2025,1,2,9.45,194.0,66.83,109,-60.0,104.56,AVE,172.0,-30.0,63.01,AVE,164.0,60.0,49.08,AVLO,172.0,120.0,50.32,AVE,199.0
00009_01-01-2025-09.57,IRYO,461,S-109,2025,1,2,9.95,172.0,47.13,346,-60.0,63.01,AVE,164.0,-30.0,66.83,AVE,194.0,30.0,49.08,AVLO,172.0,90.0,50.32,AVE,199.0
00011_01-01-2025-10.02,OUIGO,509,S-108,2025,1,2,10.03,182.0,42.64,509,-64.8,63.01,AVE,164.0,-34.8,66.83,AVE,194.0,25.2,49.08,AVLO,172.0,85.2,50.32,AVE,199.0
00012_01-01-2025-10.27,AVLO,581,S-106,2025,1,2,10.45,172.0,49.08,113,-90.0,63.01,AVE,164.0,-60.0,66.83,AVE,194.0,60.0,50.32,AVE,199.0,120.0,38.25,AVE,197.0
00009_01-01-2025-11.22,IRYO,461,S-109,2025,1,2,11.37,172.0,53.55,283,-115.2,66.83,AVE,194.0,-55.2,49.08,AVLO,172.0,4.8,50.32,AVE,199.0,64.8,38.25,AVE,197.0
00006_01-01-2025-11.27,AVE,826,S-103,2025,1,2,11.45,199.0,50.32,492,-120.0,66.83,AVE,194.0,-60.0,49.08,AVLO,172.0,60.0,38.25,AVE,197.0,90.0,40.42,AVE,157.0
00009_01-01-2025-12.22,IRYO,461,S-109,2025,1,2,12.37,172.0,29.04,461,-115.2,49.08,AVLO,172.0,-55.2,50.32,AVE,199.0,4.8,38.25,AVE,197.0,34.8,40.42,AVE,157.0
00013_01-01-2025-12.27,AVE,378,S-103,2025,1,2,12.45,197.0,38.25,378,-120.0,49.08,AVLO,172.0,-60.0,50.32,AVE,199.0,30.0,40.42,AVE,157.0,51.0,48.24,AVE,184.0
00004_01-01-2025-12.57,AVE,414,S-103,2025,1,2,12.95,157.0,40.42,414,-90.0,50.32,AVE,199.0,-30.0,38.25,AVE,197.0,21.0,48.24,AVE,184.0,90.0,40.44,AVE,177.0
00014_01-01-2025-13.18,AVE,339,S-100,2025,1,2,13.3,184.0,48.24,339,-51.0,38.25,AVE,197.0,-21.0,40.42,AVE,157.0,69.0,40.44,AVE,177.0,99.0,50.45,AVE,157.0
00009_01-01-2025-14.02,IRYO,461,S-109,2025,1,2,14.03,172.0,46.08,461,-64.8,40.42,AVE,157.0,-43.8,48.24,AVE,184.0,25.2,40.44,AVE,177.0,55.2,50.45,AVE,157.0
00015_01-01-2025-14.12,OUIGO,509,S-108,2025,1,2,14.2,157.0,35.73,509,-75.0,40.42,AVE,157.0,-54.0,48.24,AVE,184.0,15.0,40.44,AVE,177.0,45.0,50.45,AVE,157.0
00016_01-01-2025-14.27,AVE,291,S-100,2025,1,2,14.45,177.0,40.44,291,-90.0,40.42,AVE,157.0,-69.0,48.24,AVE,184.0,30.0,50.45,AVE,157.0,60.0,29.46,AVLO,199.0
00017_01-01-2025-14.42,IRYO,461,S-109,2025,1,2,14.7,179.0,37.35,461,-84.0,48.24,AVE,184.0,-15.0,40.44,AVE,177.0,15.0,50.45,AVE,157.0,45.0,29.46,AVLO,199.0
00004_01-01-2025-14.57,AVE,414,S-103,2025,1,2,14.95,157.0,50.45,414,-99.0,48.24,AVE,184.0,-30.0,40.44,AVE,177.0,30.0,29.46,AVLO,199.0,60.0,59.65,AVE,157.0
00018_01-01-2025-15.27,AVLO,571,S-106,2025,1,2,15.45,199.0,29.46,571,-60.0,40.44,AVE,177.0,-30.0,50.45,AVE,157.0,30.0,59.65,AVE,157.0,60.0,55.52,AVE,172.0
00004_01-01-2025-15.57,AVE,414,S-103,2025,1,2,15.95,157.0,59.65,404,-60.0,50.45,AVE,157.0,-30.0,29.46,AVLO,199.0,30.0,55.52,AVE,172.0,60.0,128.54,AVE,157.0
00007_01-01-2025-16.27,AVE,414,S-103,2025,1,2,16.45,172.0,55.52,414,-60.0,29.46,AVLO,199.0,-30.0,59.65,AVE,157.0,30.0,128.54,AVE,157.0,60.0,51.8,AVE,199.0
00002_01-01-2025-16.37,IRYO,461,S-109,2025,1,2,16.62,157.0,36.89,461,-40.2,59.65,AVE,157.0,-10.2,55.52,AVE,172.0,19.8,128.54,AVE,157.0,49.8,51.8,AVE,199.0
00004_01-01-2025-16.57,AVE,414,S-103,2025,1,2,16.95,157.0,128.54,0,-60.0,59.65,AVE,157.0,-30.0,55.52,AVE,172.0,30.0,51.8,AVE,199.0,60.0,71.29,AVE,157.0
00015_01-01-2025-17.17,OUIGO,509,S-108,2025,1,2,17.28,157.0,27.26,509,-49.8,55.52,AVE,172.0,-19.8,128.54,AVE,157.0,10.2,51.8,AVE,199.0,40.2,71.29,AVE,157.0
00009_01-01-2025-17.22,IRYO,461,S-109,2025,1,2,17.37,172.0,25.63,461,-55.2,55.52,AVE,172.0,-25.2,128.54,AVE,157.0,4.8,51.8,AVE,199.0,34.8,71.29,AVE,157.0
00006_01-01-2025-17.27,AVE,414,S-103,2025,1,2,17.45,199.0,51.8,287,-60.0,55.52,AVE,172.0,-30.0,128.54,AVE,157.0,30.0,71.29,AVE,157.0,60.0,67.02,AVE,177.0
00004_01-01-2025-17.57,AVE,414,S-103,2025,1,2,17.95,157.0,71.29,90,-60.0,128.54,AVE,157.0,-30.0,51.8,AVE,199.0,30.0,67.02,AVE,177.0,60.0,112.03,AVE,157.0
00016_01-01-2025-18.27,AVE,414,S-103,2025,1,2,18.45,177.0,67.02,41,-60.0,51.8,AVE,199.0,-30.0,71.29,AVE,157.0,30.0,112.03,AVE,157.0,67.2,32.14,AVLO,201.0
00002_01-01-2025-18.32,IRYO,461,S-109,2025,1,2,18.53,157.0,36.09,461,-34.8,71.29,AVE,157.0,-4.8,67.02,AVE,177.0,25.2,112.03,AVE,157.0,62.4,32.14,AVLO,201.0
00004_01-01-2025-18.57,AVE,414,S-103,2025,1,2,18.95,157.0,112.03,0,-60.0,71.29,AVE,157.0,-30.0,67.02,AVE,177.0,37.2,32.14,AVLO,201.0,67.8,48.83,AVE,157.0
00009_01-01-2025-19.29,IRYO,461,S-109,2025,1,2,19.48,172.0,41.75,461,-61.8,67.02,AVE,177.0,-31.8,112.03,AVE,157.0,5.4,32.14,AVLO,201.0,36.0,48.83,AVE,157.0
00019_01-01-2025-19.34,AVLO,581,S-106,2025,1,2,19.57,201.0,32.14,581,-67.2,67.02,AVE,177.0,-37.2,112.03,AVE,157.0,30.6,48.83,AVE,157.0,52.8,49.29,AVE,201.0
00004_01-01-2025-20.05,AVE,414,S-103,2025,1,2,20.08,157.0,48.83,172,-67.8,112.03,AVE,157.0,-30.6,32.14,AVLO,201.0,22.2,49.29,AVE,201.0,62.4,55.9,AVE,172.0
00009_01-01-2025-20.22,IRYO,461,S-109,2025,1,2,20.37,172.0,32.04,461,-48.0,32.14,AVLO,201.0,-17.4,48.83,AVE,157.0,4.8,49.29,AVE,201.0,45.0,55.9,AVE,172.0
00020_01-01-2025-20.27,AVE,414,S-103,2025,1,2,20.45,201.0,49.29,31,-52.8,32.14,AVLO,201.0,-22.2,48.83,AVE,157.0,40.2,55.9,AVE,172.0,585.0,30.29,AVLO,157.0
