service_id,train_type,capacity,train_model,year,month,day_of_week,departure_time,duration,price,passengers,time_distance_competitor_-2,price_competitor_-2,train_type_competitor_-2,duration_competitor_-2,time_distance_competitor_-1,price_competitor_-1,train_type_competitor_-1,duration_competitor_-1,time_distance_competitor_1,price_competitor_1,train_type_competitor_1,duration_competitor_1,time_distance_competitor_2,price_competitor_2,train_type_competitor_2,duration_competitor_2
00003_01-01-2025-06.27,AVE,359,S-103,2025,1,2,6.45,178.0,55.7,180,-15.0,34.52,AVLO,157.0,-4.8,43.16,IRYO,157.0,30.0,82.99,AVE,157.0,34.8,36.73,OUIGO,172.0
00004_01-01-2025-06.57,AVE,414,S-103,2025,1,2,6.95,157.0,82.99,13,-34.8,43.16,IRYO,157.0,-30.0,55.7,AVE,178.0,4.8,36.73,OUIGO,172.0,25.2,30.65,IRYO,157.0
00005_01-01-2025-07.02,OUIGO,509,S-108,2025,1,2,7.03,172.0,36.73,50,-34.8,55.7,AVE,178.0,-4.8,82.99,AVE,157.0,20.4,30.65,IRYO,157.0,25.2,27.76,AVE,199.0
00002_01-01-2025-07.22,IRYO,461,S-109,2025,1,2,7.37,157.0,30.65,748,-25.2,82.99,AVE,157.0,-20.4,36.73,OUIGO,172.0,4.8,27.76,AVE,199.0,34.8,47.82,AVE,157.0
00006_01-01-2025-07.27,AVE,414,S-103,2025,1,2,7.45,199.0,27.76,4997,-25.2,36.73,OUIGO,172.0,-4.8,30.65,IRYO,157.0,30.0,47.82,AVE,157.0,60.0,104.56,AVE,172.0
00004_01-01-2025-07.57,AVE,414,S-103,2025,1,2,7.95,157.0,47.82,172,-34.8,30.65,IRYO,157.0,-30.0,27.76,AVE,199.0,30.0,104.56,AVE,172.0,34.8,38.41,IRYO,157.0
00007_01-01-2025-08.27,AVE,414,S-103,2025,1,2,8.45,172.0,104.56,0,-60.0,27.76,AVE,199.0,-30.0,47.82,AVE,157.0,4.8,38.41,IRYO,157.0,30.0,63.01,AVE,164.0
00002_01-01-2025-08.32,IRYO,461,S-109,2025,1,2,8.53,157.0,38.41,98,-34.8,47.82,AVE,157.0,-4.8,104.56,AVE,172.0,25.2,63.01,AVE,164.0,50.4,34.27,IRYO,172.0
00008_01-01-2025-08.57,AVE,414,S-103,2025,1,2,8.95,164.0,63.01,38,-30.0,104.56,AVE,172.0,-25.2,38.41,IRYO,157.0,25.2,34.27,IRYO,172.0,30.0,66.83,AVE,194.0
00009_01-01-2025-09.22,IRYO,461,S-109,2025,1,2,9.37,172.0,34.27,295,-50.4,38.41,IRYO,157.0,-25.2,63.01,AVE,164.0,4.8,66.83,AVE,194.0,34.8,47.13,IRYO,172.0
00010_01-01-2025-09.27,AVE,414,S-103,2025,1,2,9.45,194.0,66.83,34,-30.0,63.01,AVE,164.0,-4.8,34.27,IRYO,172.0,30.0,47.13,IRYO,172.0,34.8,42.64,OUIGO,182.0
00009_01-01-2025-09.57,IRYO,461,S-109,2025,1,2,9.95,172.0,47.13,74,-34.8,34.27,IRYO,172.0,-30.0,66.83,AVE,194.0,4.8,42.64,OUIGO,182.0,30.0,49.08,AVLO,172.0
00011_01-01-2025-10.02,OUIGO,509,S-108,2025,1,2,10.03,182.0,42.64,41,-34.8,66.83,AVE,194.0,-4.8,47.13,IRYO,172.0,25.2,49.08,AVLO,172.0,80.4,53.55,IRYO,172.0
00012_01-01-2025-10.27,AVLO,581,S-106,2025,1,2,10.45,172.0,49.08,75,-30.0,47.13,IRYO,172.0,-25.2,42.64,OUIGO,182.0,55.2,53.55,IRYO,172.0,60.0,50.32,AVE,199.0
00009_01-01-2025-11.22,IRYO,461,S-109,2025,1,2,11.37,172.0,53.55,30,-80.4,42.64,OUIGO,182.0,-55.2,49.08,AVLO,172.0,4.8,50.32,AVE,199.0,60.0,29.04,IRYO,172.0
00006_01-01-2025-11.27,AVE,826,S-103,2025,1,2,11.45,199.0,50.32,149,-60.0,49.08,AVLO,172.0,-4.8,53.55,IRYO,172.0,55.2,29.04,IRYO,172.0,60.0,38.25,AVE,197.0
00009_01-01-2025-12.22,IRYO,461,S-109,2025,1,2,12.37,172.0,29.04,1322,-60.0,53.55,IRYO,172.0,-55.2,50.32,AVE,199.0,4.8,38.25,AVE,197.0,34.8,40.42,AVE,157.0
00013_01-01-2025-12.27,AVE,378,S-103,2025,1,2,12.45,197.0,38.25,452,-60.0,50.32,AVE,199.0,-4.8,29.04,IRYO,172.0,30.0,40.42,AVE,157.0,51.0,48.24,AVE,184.0
00004_01-01-2025-12.57,AVE,414,S-103,2025,1,2,12.95,157.0,40.42,488,-34.8,29.04,IRYO,172.0,-30.0,38.25,AVE,197.0,21.0,48.24,AVE,184.0,64.8,46.08,IRYO,172.0
00014_01-01-2025-13.18,AVE,339,S-100,2025,1,2,13.3,184.0,48.24,45,-51.0,38.25,AVE,197.0,-21.0,40.42,AVE,157.0,43.8,46.08,IRYO,172.0,54.0,35.73,OUIGO,157.0
00009_01-01-2025-14.02,IRYO,461,S-109,2025,1,2,14.03,172.0,46.08,22,-64.8,40.42,AVE,157.0,-43.8,48.24,AVE,184.0,10.2,35.73,OUIGO,157.0,25.2,40.44,AVE,177.0
00015_01-01-2025-14.12,OUIGO,509,S-108,2025,1,2,14.2,157.0,35.73,59,-54.0,48.24,AVE,184.0,-10.2,46.08,IRYO,172.0,15.0,40.44,AVE,177.0,30.0,37.35,IRYO,179.0
00016_01-01-2025-14.27,AVE,291,S-100,2025,1,2,14.45,177.0,40.44,292,-25.2,46.08,IRYO,172.0,-15.0,35.73,OUIGO,157.0,15.0,37.35,IRYO,179.0,30.0,50.45,AVE,157.0
00017_01-01-2025-14.42,IRYO,461,S-109,2025,1,2,14.7,179.0,37.35,71,-30.0,35.73,OUIGO,157.0,-15.0,40.44,AVE,177.0,15.0,50.45,AVE,157.0,45.0,29.46,AVLO,199.0
00004_01-01-2025-14.57,AVE,414,S-103,2025,1,2,14.95,157.0,50.45,154,-30.0,40.44,AVE,177.0,-15.0,37.35,IRYO,179.0,30.0,29.46,AVLO,199.0,60.0,59.65,AVE,157.0
00018_01-01-2025-15.27,AVLO,571,S-106,2025,1,2,15.45,199.0,29.46,636,-45.0,37.35,IRYO,179.0,-30.0,50.45,AVE,157.0,30.0,59.65,AVE,157.0,60.0,55.52,AVE,172.0
00004_01-01-2025-15.57,AVE,414,S-103,2025,1,2,15.95,157.0,59.65,127,-60.0,50.45,AVE,157.0,-30.0,29.46,AVLO,199.0,30.0,55.52,AVE,172.0,40.2,36.89,IRYO,157.0
00007_01-01-2025-16.27,AVE,414,S-103,2025,1,2,16.45,172.0,55.52,151,-60.0,29.46,AVLO,199.0,-30.0,59.65,AVE,157.0,10.2,36.89,IRYO,157.0,30.0,128.54,AVE,157.0
00002_01-01-2025-16.37,IRYO,461,S-109,2025,1,2,16.62,157.0,36.89,202,-40.2,59.65,AVE,157.0,-10.2,55.52,AVE,172.0,19.8,128.54,AVE,157.0,39.6,27.26,OUIGO,157.0
00004_01-01-2025-16.57,AVE,414,S-103,2025,1,2,16.95,157.0,128.54,0,-30.0,55.52,AVE,172.0,-19.8,36.89,IRYO,157.0,19.8,27.26,OUIGO,157.0,25.2,25.63,IRYO,172.0
00015_01-01-2025-17.17,OUIGO,509,S-108,2025,1,2,17.28,157.0,27.26,1371,-39.6,36.89,IRYO,157.0,-19.8,128.54,AVE,157.0,5.4,25.63,IRYO,172.0,10.2,51.8,AVE,199.0
00009_01-01-2025-17.22,IRYO,461,S-109,2025,1,2,17.37,172.0,25.63,2977,-25.2,128.54,AVE,157.0,-5.4,27.26,OUIGO,157.0,4.8,51.8,AVE,199.0,34.8,71.29,AVE,157.0
00006_01-01-2025-17.27,AVE,414,S-103,2025,1,2,17.45,199.0,51.8,92,-10.2,27.26,OUIGO,157.0,-4.8,25.63,IRYO,172.0,30.0,71.29,AVE,157.0,60.0,67.02,AVE,177.0
00004_01-01-2025-17.57,AVE,414,S-103,2025,1,2,17.95,157.0,71.29,31,-34.8,25.63,IRYO,172.0,-30.0,51.8,AVE,199.0,30.0,67.02,AVE,177.0,34.8,36.09,IRYO,157.0
00016_01-01-2025-18.27,AVE,414,S-103,2025,1,2,18.45,177.0,67.02,15,-60.0,51.8,AVE,199.0,-30.0,71.29,AVE,157.0,4.8,36.09,IRYO,157.0,30.0,112.03,AVE,157.0
00002_01-01-2025-18.32,IRYO,461,S-109,2025,1,2,18.53,157.0,36.09,73,-34.8,71.29,AVE,157.0,-4.8,67.02,AVE,177.0,25.2,112.03,AVE,157.0,57.0,41.75,IRYO,172.0
00004_01-01-2025-18.57,AVE,414,S-103,2025,1,2,18.95,157.0,112.03,0,-30.0,67.02,AVE,177.0,-25.2,36.09,IRYO,157.0,31.8,41.75,IRYO,172.0,37.2,32.14,AVLO,201.0
00009_01-01-2025-19.29,IRYO,461,S-109,2025,1,2,19.48,172.0,41.75,8,-57.0,36.09,IRYO,157.0,-31.8,112.03,AVE,157.0,5.4,32.14,AVLO,201.0,36.0,48.83,AVE,157.0
00019_01-01-2025-19.34,AVLO,581,S-106,2025,1,2,19.57,201.0,32.14,60,-37.2,112.03,AVE,157.0,-5.4,41.75,IRYO,172.0,30.6,48.83,AVE,157.0,48.0,32.04,IRYO,172.0
00004_01-01-2025-20.05,AVE,414,S-103,2025,1,2,20.08,157.0,48.83,17,-36.0,41.75,IRYO,172.0,-30.6,32.14,AVLO,201.0,17.4,32.04,IRYO,172.0,22.2,49.29,AVE,201.0
00009_01-01-2025-20.22,IRYO,461,S-109,2025,1,2,20.37,172.0,32.04,73,-48.0,32.14,AVLO,201.0,-17.4,48.83,AVE,157.0,4.8,49.29,AVE,201.0,39.6,36.1,OUIGO,172.0
00020_01-01-2025-20.27,AVE,414,S-103,2025,1,2,20.45,201.0,49.29,1,-22.2,48.83,AVE,157.0,-4.8,32.04,IRYO,172.0,34.8,36.1,OUIGO,172.0,40.2,55.9,AVE,172.0
00005_01-01-2025-21.02,OUIGO,509,S-108,2025,1,2,21.03,172.0,36.1,3,-39.6,32.04,IRYO,172.0,-34.8,49.29,AVE,201.0,5.4,55.9,AVE,172.0,889.8,30.29,AVLO,157.0
00007_01-01-2025-21.07,AVE,414,S-103,2025,1,2,21.12,172.0,55.9,0,-40.2,49.29,AVE,201.0,-5.4,36.1,OUIGO,172.0,895.2,30.29,AVLO,157.0,885.0,50.13,IRYO,157.0
00001_02-01-2025-06.12,AVLO,581,S-106,2025,1,3,6.2,157.0,30.29,1928,-889.8,36.1,OUIGO,172.0,-895.2,55.9,AVE,172.0,10.2,50.13,IRYO,157.0,15.0,53.32,AVE,178.0
00002_02-01-2025-06.22,IRYO,461,S-109,2025,1,3,6.37,157.0,50.13,298,-885.0,55.9,AVE,172.0,-10.2,30.29,AVLO,157.0,4.8,53.32,AVE,178.0,34.8,64.48,AVE,157.0
00003_02-01-2025-06.27,AVE,359,S-103,2025,1,3,6.45,178.0,53.32,666,-15.0,30.29,AVLO,157.0,-4.8,50.13,IRYO,157.0,30.0,64.48,AVE,157.0,34.8,43.57,OUIGO,172.0
